monster_1,monster_2,win_pct_1,win_pct_2,underdog_pct
Air Elemental,Killer Whale,50.0,50.0,50.0
Black Dragon Wyrmling,Bugbear,50.0,50.0,50.0
Ettin,"Werebear, Human Form",50.0,50.0,50.0
Ghost,Medusa,50.0,50.0,50.0
Giant Owl,"Wererat, Rat Form",50.0,50.0,50.0
Imp,Sahuagin,50.0,50.0,50.0
Minotaur,Otyugh,50.0,50.0,50.0
Ankheg,Salamander,49.9,50.1,49.9
Basilisk,Succubus/Incubus,49.9,50.1,49.9
Black Dragon Wyrmling,Will-o'-Wisp,50.1,49.9,49.9
Black Pudding,Centaur,50.1,49.9,49.9
Brass Dragon Wyrmling,Swarm of Spiders,49.9,50.1,49.9
Giant Lizard,Lizardfolk,49.9,50.1,49.9
Giant Scorpion,Green Dragon Wyrmling,49.9,50.1,49.9
Ice Devil,Young Blue Dragon,49.9,50.1,49.9
Ogre,Spirit Naga,50.1,49.9,49.9
Panther,Wolf,49.9,50.1,49.9
Berserker,Silver Dragon Wyrmling,50.2,49.8,49.8
Bone Devil,Young Brass Dragon,50.2,49.8,49.8
Flying Sword,Giant Goat,49.8,50.2,49.8
Giant Constrictor Snake,Medusa,49.8,50.2,49.8
Giant Crocodile,Young Brass Dragon,50.2,49.8,49.8
Giant Lizard,Shadow,49.8,50.2,49.8
Goblin,Noble,49.8,50.2,49.8
Gold Dragon Wyrmling,Winter Wolf,50.2,49.8,49.8
Grimlock,Wolf,49.8,50.2,49.8
Medusa,Vampire Spawn,49.8,50.2,49.8
Mule,Steam Mephit,50.2,49.8,49.8
Owlbear,"Weretiger, Human Form",50.2,49.8,49.8
Bandit,Goblin,50.3,49.7,49.7
Berserker,Giant Constrictor Snake,50.3,49.7,49.7
Black Pudding,Green Dragon Wyrmling,50.3,49.7,49.7
Black Pudding,Hell Hound,50.3,49.7,49.7
Bugbear,Giant Boar,49.7,50.3,49.7
Camel,Cultist,49.7,50.3,49.7
Clay Golem,Triceratops,50.3,49.7,49.7
Ghost,Gibbering Mouther,50.3,49.7,49.7
Ghost,Half-Red Dragon Veteran,49.7,50.3,49.7
Ghoul,"Wererat, Human Form",50.3,49.7,49.7
Giant Constrictor Snake,Owlbear,50.3,49.7,49.7
Giant Hyena,Salamander,49.7,50.3,49.7
Giant Sea Horse,Skeleton,50.3,49.7,49.7
Giant Weasel,Ice Mephit,49.7,50.3,49.7
Guardian Naga,"Werebear, Bear Form",50.3,49.7,49.7
Lamia,Wyvern,49.7,50.3,49.7
Mummy,Saber-Toothed Tiger,49.7,50.3,49.7
Orc,Swarm of Centipedes,49.7,50.3,49.7
Pegasus,"Wereboar, Boar Form",49.7,50.3,49.7
Bugbear,Swarm of Quippers,50.4,49.6,49.6
Bulette,Stone Giant,50.4,49.6,49.6
Copper Dragon Wyrmling,Giant Spider,49.6,50.4,49.6
Earth Elemental,Young White Dragon,50.4,49.6,49.6
Giant Eagle,Warhorse,49.6,50.4,49.6
Giant Owl,Orc,50.4,49.6,49.6
Giant Weasel,Magmin,49.6,50.4,49.6
Gray Ooze,Wolf,49.6,50.4,49.6
Orc,Warhorse,50.4,49.6,49.6
Orc,"Wererat, Human Form",49.6,50.4,49.6
Pseudodragon,Quasit,50.4,49.6,49.6
Warhorse Skeleton,White Dragon Wyrmling,49.6,50.4,49.6
Berserker,"Wereboar, Boar Form",49.5,50.5,49.5
Cloaker,"Weretiger, Hybrid Form",50.5,49.5,49.5
Deep Gnome (Svirfneblin),Spy,49.5,50.5,49.5
Giant Crocodile,Hydra,50.5,49.5,49.5
Giant Owl,"Wererat, Hybrid Form",50.5,49.5,49.5
Green Dragon Wyrmling,Hell Hound,50.5,49.5,49.5
Imp,Zombie,49.5,50.5,49.5
Knight,Ogre Zombie,49.5,50.5,49.5
Mummy Lord,Young Copper Dragon,49.5,50.5,49.5
Ochre Jelly,Swarm of Poisonous Snakes,49.5,50.5,49.5
Owlbear,Spirit Naga,49.5,50.5,49.5
"Werebear, Human Form",Wyvern,50.5,49.5,49.5
Ankheg,Archmage,49.4,50.6,49.4
Assassin,Half-Red Dragon Veteran,49.4,50.6,49.4
Black Pudding,Bronze Dragon Wyrmling,50.6,49.4,49.4
Black Pudding,Dire Wolf,50.6,49.4,49.4
Giant Lizard,Giant Owl,50.6,49.4,49.4
Giant Vulture,Hippogriff,50.6,49.4,49.4
Hill Giant,Young Brass Dragon,49.4,50.6,49.4
Orc,Swarm of Insects,50.6,49.4,49.4
Orc,Swarm of Spiders,49.4,50.6,49.4
Orc,Swarm of Wasps,50.6,49.4,49.4
Rakshasa,Wraith,50.6,49.4,49.4
Ape,Giant Goat,50.7,49.3,49.3
Berserker,"Wereboar, Hybrid Form",49.3,50.7,49.3
Black Bear,Scout,50.7,49.3,49.3
Black Dragon Wyrmling,Swarm of Quippers,49.3,50.7,49.3
Bulette,Glabrezu,50.7,49.3,49.3
Crocodile,Orc,50.7,49.3,49.3
Duergar,Giant Toad,49.3,50.7,49.3
Fire Giant,Purple Worm,49.3,50.7,49.3
